combination,silhouette,calinski_harabasz,davies_bouldin,rank
pca_hdbscan,0.124744736,26.965511,3.249514657177786,1
umap_kmeans,-0.06968542,8.685012,4.389214195985379,2
pca_kmeans,-0.15991215,16.567488,5.744515143647655,3
tsne_kmeans,0.030117417,3.368089,5.84727142550244,4
umap_hdbscan,-0.139178,7.413141,10.932820916940939,5
tsne_hdbscan,-0.2556143,3.2273996,8.318307539192217,6
