dim_reduction,clustering,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise,rank
umap,hdbscan,0.59489167,6554.3613,0.39040205202133693,19,0,1
umap,kmeans,0.6712182,1398.6058,0.607505259516571,5,0,2
pca,kmeans,0.5790098,490.2246,0.6085107215799168,5,0,3
tsne,hdbscan,0.7155506,36.377995,0.8633284928284537,89,12,4
pca,hdbscan,0.40845212,201.75444,0.7802372532427851,5,5,5
tsne,kmeans,0.4213926,267.71182,0.8139604357022499,5,0,6
